,0
python,25.56354303354543
developer,16.588154726689652
django,14.888284974747158
software,14.70672460875831
java,12.475259348254218
sql,12.20472660025691
javascript,11.749655169185088
engineer,10.892670086355462
html,9.56546532068654
css,8.995804299437994
js,8.72849576440322
mysql,8.695455386680731
jquery,8.509093909784536
linux,8.22565363091603
web,7.843456409924339
may,7.708551985547728
data,7.460026798864309
php,6.966804246553095
university,6.8958479786295745
oracle,6.6208375590381845
server,6.556601019858592
ca,6.48350828295819
august,6.466784203248153
aws,6.255878553706796
git,6.23493275891203
science,6.112460643101613
ui,5.912958807027916
development,5.87866875354769
june,5.873470366469113
android,5.864932971854231
ajax,5.726939812513146
computer,5.715336610975005
january,5.655280918627122
environment,5.537827035258389
flask,5.491223900606059
skills,5.4769029088938135
angular,5.465793399129714
bootstrap,5.30577905205786
december,5.278610071040865
apache,5.18126517656667
new,5.176240892282642
september,5.11717105162498
api,5.069621006133168
york,5.005541967952012
senior,4.93597511454699
present,4.863925332965101
unix,4.790498461435965
design,4.785624945990288
project,4.775326003074863
spring,4.75344848943359
span,4.746259864912872
html5,4.715480392335549
react,4.670264765912331
engineering,4.619545670986923
ny,4.597550821472604
services,4.5364085539976715
amazon,4.425612715529782
windows,4.411783218067037
net,4.4004955323441655
april,4.3597142867152145
mvc,4.349034159207993
intern,4.321716772948125
database,4.307920074669426
july,4.301501900190365
march,4.253082834963201
february,4.165280983963668
information,4.142041564367693
xml,4.112589335213397
front,4.101220251892094
class,4.088410799075555
san,3.9948927708843924
framework,3.885864914389555
education,3.8728911487240474
experience,3.8707346466492853
microsoft,3.8524807580897424
november,3.8491553335514443
node,3.833321329058589
github,3.831744112346381
application,3.8127518358113512
hadoop,3.803880941091944
technologies,3.790326318031481
hl,3.7846636731899688
technology,3.7735323004699333
asp,3.7697668215901516
jenkins,3.7207760881556156
systems,3.6827791051975733
com,3.652618739875984
management,3.626019635589952
css3,3.61572618554915
us,3.602597252967941
json,3.535337286537387
eclipse,3.5111672086982995
work,3.502704795645498
google,3.4984013987662075
october,3.4867859008182727
shell,3.4814284382958465
stack,3.4773106559909883
pandas,3.4662680762391815
inc,3.4046428452856454
docker,3.4044700443917373
agile,3.310421107194793
ms,3.308662535798323
ruby,3.267255958836568
spark,3.262269848619586
state,3.242848786868187
wrote,3.2232517043149715
analysis,3.2126935003528745
sr,3.171561105313741
lead,3.150245655025908
tools,3.1478363970670196
assistant,3.0613222007185805
machine,3.052937417176928
jira,3.048603385745892
cloud,3.0421987973698106
technical,3.0275076096232505
programming,3.024015417333421
numpy,3.0062222651514134
visual,2.962442506608585
excel,2.960600351070256
mongodb,2.929428520707666
testing,2.9271839824932746
system,2.90680639595612
freelance,2.88464423930263
automation,2.8729972115020646
programmer,2.8686571606564018
pl,2.863333519840036
il,2.7979230367896832
postgresql,2.7894504247231873
developed,2.788915958762374
tx,2.7674029939782834
angularjs,2.733728520700611
tableau,2.7114833725433645
institute,2.7090324291128
bachelor,2.7022558914007386
backend,2.7019626326368646
learning,2.6941347607131876
soap,2.637818075063206
nj,2.5957459814845754
http,2.55120789300374
perl,2.546888270608262
studio,2.537940171594221
object,2.530932818630274
it,2.527077766696301
college,2.5240572923284397
business,2.513478363850486
master,2.5053355389892022
hibernate,2.484195353003574
svn,2.46974978274957
ltd,2.4541963231674844
algorithm,2.4300762353175362
user,2.407594177414526
scripting,2.402245460434414
j2ee,2.3937484256718857
magento,2.3717666493820855
city,2.3502914322924657
test,2.3349145163721277
team,2.306264341348629
graduate,2.276824483416705
ansible,2.267847522194606
hive,2.2365487581104815
scrum,2.2292773141230295
full,2.224683979030369
matplotlib,2.182303717206214
analyst,2.155250464838662
db,2.1533264210177463
ec2,2.147994458800121
wordpress,2.1328951864078936
cassandra,2.129169911927601
research,2.1252205227480276
ma,2.117765916536257
end,2.113108094620627
ga,2.099859779780422
jsp,2.0974676173117057
sdlc,2.08259449409195
mobile,2.0657390056003906
s3,2.0655010508690106
express,2.061795873113012
ibm,2.0596692261070864
app,2.0447911454334067
selenium,2.0111484116173854
francisco,2.002895915386668
crm,1.9901179667313234
qa,1.9619128339061869
llc,1.9522294115593275
code,1.9462074850060955
develop,1.9377977968597866
additional,1.927067249297664
manager,1.9251476473109426
orm,1.9195557063479494
wa,1.91932418093188
ubuntu,1.9192485223300995
maven,1.9150206091750823
authorized,1.8983943927451468
script,1.8622973468561685
pvt,1.8571386231230607
cisco,1.8364452778303497
tomcat,1.8353510315196162
pycharm,1.8346523448179015
solutions,1.8346046104204963
integration,1.8117399305429365
oriented,1.806998475892639
redux,1.7996921346672339
core,1.7862885715422048
student,1.7748236485891924
chicago,1.762834151305619
cms,1.7490428353896799
engine,1.7473777636701957
model,1.7472089023189206
xhtml,1.7469357311498126
rest,1.7454794109259706
build,1.717498272264453
consultant,1.7105943502008478
architecture,1.707634039744278
https,1.706916624197378
nodejs,1.6988572058662923
matlab,1.6982688299735966
rails,1.6980127103262423
gui,1.6973027624328196
access,1.6937911561395593
adobe,1.6847933823024157
contract,1.6829120372301
junit,1.6776105091174538
devops,1.6673517666168733
performed,1.658794305517197
health,1.6548703640436853
mac,1.654172597262317
heroku,1.6534384513080416
nosql,1.6515861301451467
language,1.6286893361376282
os,1.6154393943296992
service,1.6067960933211707
school,1.5983141339675582
electrical,1.5880635441604367
sqlalchemy,1.5866202790934643
california,1.582727170788148
restful,1.5821652252468112
redis,1.5760974071290936
interface,1.570268064912967
texas,1.5617493359290424
dom,1.5559534604791947
ip,1.5532641774537514
website,1.5437071116032832
ci,1.5433511645994482
